Country Name,Global Rank,Quintile Env 1,Latitude (generated),Longitude (generated),Index Value
Afghanistan,193,Q5 — Top 20%,34.023,65.5267,0.352
Albania,111,Q5 — Top 20%,40.654,20.076,0.543
Algeria,209,Q5 — Top 20%,28.6045,2.64,0.271
Andorra,30,Q5 — Top 20%,42.5425,1.5893,0.673
Angola,137,Q5 — Top 20%,-12.836,17.808,0.497
Anguilla,177,Q5 — Top 20%,18.2177,-63.0406,0.419
Antigua & Barbuda,57,Q5 — Top 20%,17.625,-61.786,0.636
Argentina,140,Q5 — Top 20%,-33.166,-64.31,0.491
Armenia,66,Q5 — Top 20%,40.56,44.449,0.621
Aruba,132,Q5 — Top 20%,12.5176,-69.9818,0.506
Australia,91,Q5 — Top 20%,-24.578,133.582,0.572
Austria,29,Q5 — Top 20%,47.65,14.705,0.675
Azerbaijan,145,Q5 — Top 20%,40.46,47.883,0.472
Bahrain,195,Q5 — Top 20%,26.025,50.5534,0.339
Bangladesh,204,Q5 — Top 20%,24.598,90.1963,0.295
Barbados,191,Q5 — Top 20%,13.1898,-59.559,0.373
Belarus,65,Q5 — Top 20%,53.3292,27.9492,0.626
Belgium,99,Q5 — Top 20%,50.6745,4.4588,0.558
Belize,12,Q5 — Top 20%,17.108,-88.744,0.706
Benin,61,Q5 — Top 20%,10.478,2.274,0.634
Bermuda,127,Q5 — Top 20%,32.3019,-64.7737,0.509
Bhutan,5,Q5 — Top 20%,27.5342,90.3002,0.788
Bolivia,46,Q5 — Top 20%,-16.71,-65.183,0.654
Bosnia & Herzegovina,174,Q5 — Top 20%,44.342,17.804,0.421
Botswana,43,Q5 — Top 20%,-22.126,23.662,0.659
Brazil,83,Q5 — Top 20%,-11.694,-48.978,0.587
British Virgin Is.,75,Q5 — Top 20%,,,0.6
Brunei,20,Q5 — Top 20%,4.452,114.557,0.693
Bulgaria,59,Q5 — Top 20%,42.625,24.521,0.635
Burkina Faso,120,Q5 — Top 20%,12.673,-1.226,0.524
Burundi,129,Q5 — Top 20%,-3.333,29.749,0.507
Cabo Verde,110,Q5 — Top 20%,15.416,-23.36,0.544
Cambodia,99,Q5 — Top 20%,12.69,104.444,0.558
Cameroon,134,Q5 — Top 20%,4.4,12.131,0.501
