Country Name,Global Rank Human,Quintile Human,Latitude (generated),Longitude (generated),Index Value
Afghanistan,165,Q5 — Top 20%,34.023,65.5267,0.372
Albania,64,Q5 — Top 20%,40.654,20.076,0.62
Algeria,91,Q5 — Top 20%,28.6045,2.64,0.567
Andorra,35,Q5 — Top 20%,42.5425,1.5893,0.707
Angola,175,Q5 — Top 20%,-12.836,17.808,0.337
Antigua & Barbuda,76,Q5 — Top 20%,17.625,-61.786,0.589
Argentina,59,Q5 — Top 20%,-33.166,-64.31,0.65
Armenia,57,Q5 — Top 20%,40.56,44.449,0.657
Australia,8,Q5 — Top 20%,-24.578,133.582,0.765
Austria,6,Q5 — Top 20%,47.65,14.705,0.768
Azerbaijan,84,Q5 — Top 20%,40.46,47.883,0.575
Bahrain,80,Q5 — Top 20%,26.025,50.5534,0.581
Bangladesh,140,Q5 — Top 20%,24.598,90.1963,0.454
Barbados,68,Q5 — Top 20%,13.1898,-59.559,0.615
Belarus,12,Q5 — Top 20%,53.3292,27.9492,0.753
Belgium,5,Q5 — Top 20%,50.6745,4.4588,0.773
Belize,119,Q5 — Top 20%,17.108,-88.744,0.502
Benin,189,Q5 — Top 20%,10.478,2.274,0.309
Bermuda,36,Q5 — Top 20%,32.3019,-64.7737,0.706
Bhutan,137,Q5 — Top 20%,27.5342,90.3002,0.461
Bolivia,128,Q5 — Top 20%,-16.71,-65.183,0.488
Bosnia & Herzegovina,50,Q5 — Top 20%,44.342,17.804,0.673
Botswana,137,Q5 — Top 20%,-22.126,23.662,0.461
Brazil,63,Q5 — Top 20%,-11.694,-48.978,0.628
Brunei,101,Q5 — Top 20%,4.452,114.557,0.55
Bulgaria,32,Q5 — Top 20%,42.625,24.521,0.714
Burkina Faso,191,Q5 — Top 20%,12.673,-1.226,0.297
Burundi,185,Q5 — Top 20%,-3.333,29.749,0.318
Cabo Verde,117,Q5 — Top 20%,15.416,-23.36,0.514
Cambodia,146,Q5 — Top 20%,12.69,104.444,0.444
Cameroon,169,Q5 — Top 20%,4.4,12.131,0.354
Canada,40,Q5 — Top 20%,59.2067,-111.1937,0.699
Central African Republic,184,Q5 — Top 20%,7.043,21.424,0.32
Chad,197,Q5 — Top 20%,15.981,18.781,0.242
Chile,58,Q5 — Top 20%,-23.176,-69.201,0.652
China,61,Q5 — Top 20%,35.1753,99.3877,0.643
Colombia,105,Q5 — Top 20%,3.794,-73.606,0.542
Comoros,156,Q5 — Top 20%,-11.6527,43.3307,0.407
Congo,157,Q5 — Top 20%,0.509,16.08,0.397
