Country Name,Global Rank Societal,Quintile Societal,Latitude (generated),Longitude (generated),Index Value
Afghanistan,207,Q1 — Bottom 20%,34.023,65.5267,0.277
Albania,139,Q2 — Lower Middle,40.654,20.076,0.515
Algeria,117,Q3 — Middle,28.6045,2.64,0.542
American Samoa,31,Q5 — Top 20%,-14.3018,-170.7511,0.695
Andorra,41,Q5 — Top 20%,42.5425,1.5893,0.674
Angola,135,Q2 — Lower Middle,-12.836,17.808,0.517
Antigua & Barbuda,53,Q4 — Upper Middle,17.625,-61.786,0.655
Argentina,90,Q3 — Middle,-33.166,-64.31,0.582
Armenia,138,Q2 — Lower Middle,40.56,44.449,0.516
Aruba,5,Q5 — Top 20%,12.5176,-69.9818,0.772
Australia,29,Q5 — Top 20%,-24.578,133.582,0.698
Austria,24,Q5 — Top 20%,47.65,14.705,0.719
Azerbaijan,135,Q2 — Lower Middle,40.46,47.883,0.517
Bahrain,60,Q4 — Upper Middle,26.025,50.5534,0.648
Bangladesh,134,Q2 — Lower Middle,24.598,90.1963,0.519
Barbados,42,Q5 — Top 20%,13.1898,-59.559,0.67
Belarus,88,Q3 — Middle,53.3292,27.9492,0.585
Belgium,56,Q4 — Upper Middle,50.6745,4.4588,0.653
Belize,133,Q2 — Lower Middle,17.108,-88.744,0.521
Benin,174,Q1 — Bottom 20%,10.478,2.274,0.438
Bermuda,14,Q5 — Top 20%,32.3019,-64.7737,0.759
Bhutan,112,Q3 — Middle,27.5342,90.3002,0.554
Bolivia,141,Q2 — Lower Middle,-16.71,-65.183,0.507
Bosnia & Herzegovina,93,Q3 — Middle,44.342,17.804,0.58
Botswana,84,Q4 — Upper Middle,-22.126,23.662,0.597
Brazil,96,Q3 — Middle,-11.694,-48.978,0.573
Brunei,24,Q5 — Top 20%,4.452,114.557,0.719
Bulgaria,61,Q4 — Upper Middle,42.625,24.521,0.646
Burkina Faso,190,Q1 — Bottom 20%,12.673,-1.226,0.369
Burundi,192,Q1 — Bottom 20%,-3.333,29.749,0.361
Cabo Verde,83,Q4 — Upper Middle,15.416,-23.36,0.599
Cambodia,147,Q2 — Lower Middle,12.69,104.444,0.501
Cameroon,188,Q1 — Bottom 20%,4.4,12.131,0.401
Canada,51,Q4 — Upper Middle,59.2067,-111.1937,0.659
Cayman Is.,16,Q5 — Top 20%,19.3299,-81.1715,0.755
Central African Republic,201,Q1 — Bottom 20%,7.043,21.424,0.302
Chad,204,Q1 — Bottom 20%,15.981,18.781,0.294
Chile,48,Q4 — Upper Middle,-23.176,-69.201,0.66
China,64,Q4 — Upper Middle,35.1753,99.3877,0.644
"China, Hong Kong Special Admin Region",27,Q5 — Top 20%,,,0.707
"China, Macau Special Admin Region",18,Q5 — Top 20%,,,0.751
Colombia,140,Q2 — Lower Middle,3.794,-73.606,0.509
Comoros,173,Q1 — Bottom 20%,-11.6527,43.3307,0.442
Congo,187,Q1 — Bottom 20%,0.509,16.08,0.405
"Congo, DRC",198,Q1 — Bottom 20%,-1.418,23.607,0.312
Costa Rica,56,Q4 — Upper Middle,10.126,-84.075,0.653
Cote d'Ivoire,151,Q2 — Lower Middle,7.497,-5.336,0.487
Croatia,124,Q3 — Middle,45.754,16.385,0.534
Cuba,100,Q3 — Middle,20.571,-76.456,0.566
CuraÃ§ao,12,Q5 — Top 20%,,,0.76
Cyprus,72,Q4 — Upper Middle,34.894,32.928,0.624
Czechia,39,Q5 — Top 20%,49.848,15.2812,0.68
Denmark,2,Q5 — Top 20%,56.113,9.096,0.792
Djibouti,177,Q1 — Bottom 20%,11.41,42.165,0.435
Dominica,74,Q4 — Upper Middle,15.4238,-61.3411,0.622
Dominican Republic,109,Q3 — Middle,19.01,-70.1685,0.556
Ecuador,161,Q2 — Lower Middle,-1.151,-78.308,0.468
Egypt,131,Q2 — Lower Middle,26.16,28.742,0.526
El Salvador,150,Q2 — Lower Middle,13.848,-89.229,0.489
Equatorial Guinea,167,Q2 — Lower Middle,1.6342,10.4695,0.454
Eritrea,200,Q1 — Bottom 20%,15.982,38.02,0.308
Estonia,55,Q4 — Upper Middle,58.777,25.977,0.654
Eswatini,130,Q2 — Lower Middle,-26.5203,31.4607,0.527
Ethiopia,199,Q1 — Bottom 20%,8.435,38.786,0.311
Fiji,115,Q3 — Middle,-17.7941,177.9783,0.548
Finland,21,Q5 — Top 20%,62.716,26.192,0.733
France,30,Q5 — Top 20%,46.656,2.543,0.696
French Polynesia,115,Q3 — Middle,-17.529,-149.53,0.548
Gabon,101,Q3 — Middle,-0.406,11.914,0.564
